"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"p1[103]",0.0363891222556125,0.033452242,0.016887813011875,0.0154023859542,0.01427086585,0.0683779516,1.00033380095801,14890.132091262,13037.6444596275
"p1[104]",0.0037984315824047,0.0022712952,0.0046516455066894,0.002342562604158,0.0002370197455,0.01233261565,0.999964587931962,14961.6628785717,14150.0933292395
"p1[105]",0.00224324262724552,0.0012182914,0.0030534451202075,0.001318462844013,0.0001057323905,0.00781298132,1.00007927565028,13863.3891245058,12890.3833766792
"p1[106]",0.118716763064562,0.11584238,0.0318085239527693,0.031403892051,0.0714295368,0.175284012,1.00035348739257,14143.3408688709,13299.6486819548
"p1[107]",0.257418602661938,0.25441874,0.0528957790465474,0.052261390545,0.175447742,0.349787976,1.00011566185951,13267.7035694534,13976.8460850803
"p1[108]",0.0115044913233975,0.00997318545,0.00706144703161518,0.00592273228932,0.003276180145,0.02512184515,1.00011896435392,13538.9009528017,12958.6018568435
"p1[109]",0.235202834186563,0.231298515,0.0577745794156751,0.057697135881,0.147268944,0.336956724,1.0001484501171,14810.4453249008,14219.8599455933
"p1[110]",0.04509484276775,0.042226728,0.0188085439355243,0.0176554909503,0.0197251944,0.0802795401,1.00038831194132,15536.8596946541,13057.4981794384
"p1[111]",0.1602138036845,0.15250374,0.0628717014907171,0.061205538282,0.07189223315,0.2755833605,1.00016016609654,17901.3795001963,13733.5615861862
"p1[112]",0.28664505554275,0.28333281,0.061349661924805,0.061460508417,0.192103663,0.392735829,1.00038895485096,14531.2263926339,13960.4454902676
"p1[113]",0.600697126206875,0.606830065,0.127622586057233,0.133004260977,0.3816286615,0.8002818935,1.00016367520177,15916.218087969,14238.695164055
"p1[114]",0.0533269241929875,0.050937008,0.0191216214116702,0.0182969504424,0.02666358815,0.08812620945,1.00009880399883,13520.2087659498,12420.4276122069
"p1[115]",0.006091153217695,0.0049232389,0.00454328552773991,0.00339707389287,0.00132106068,0.0150159276,1.00013310592597,14962.0513398965,13316.176830772
"p1[116]",0.324852819216875,0.321542215,0.0697134480847657,0.070879985127,0.2166946295,0.4450920595,1.00033431562733,18390.9914314965,14566.2963439352
"p1[117]",0.0191199546505813,0.01622895,0.0125458043361236,0.01011774231762,0.004844352885,0.04330434065,1.00004261406927,13287.1277764358,13377.358902744
"p1[118]",0.07761755613125,0.0751717295,0.0239603943726934,0.0234530848314,0.0426925366,0.121516349,1.00005144841562,14326.8341702263,13663.3390727137
"p1[119]",0.0414638344651125,0.0381865625,0.019304008831502,0.0178578591786,0.0163649169,0.07774434845,0.999871532252398,14226.8674354719,12461.332719069
"p1[120]",0.14560326317625,0.14320244,0.0322129343305912,0.031996161099,0.0964220199,0.2019912335,1.00009602348636,14859.8622452475,14474.9903133477
"p1[121]",0.0292999016644375,0.0266992645,0.0142879991314023,0.0129585444681,0.0109065589,0.05631934925,1.00033783039104,14644.1193964845,12788.6082170834
"p1[122]",0.063034626729,0.0593349975,0.0261182767893716,0.0243980073393,0.02735638065,0.1109336785,1.00017514390177,17167.7203351316,14201.7301233681
"p1[123]",0.0714935077438125,0.0691435565,0.0223676793519555,0.021667880241,0.039449933,0.112185294,1.00030370942537,14740.4504414472,12563.8152719285
"p1[124]",0.342279907648125,0.339161655,0.0756948288257016,0.076144453098,0.224524241,0.472144274,1.00040496968108,13958.6239372612,13639.7665324752
"p1[125]",0.134415960325938,0.129440865,0.0474708535922475,0.0463813374171,0.0665189808,0.2210418495,1.00021239971102,18020.8939066943,13085.3434712142
"p1[126]",0.0565203565469313,0.053293862,0.0222737297845459,0.0211897424823,0.0260678668,0.09799291505,1.00041826565914,15420.6107069611,13066.3319368056
"p1[127]",0.0646088202387562,0.0613618435,0.0248908315415715,0.0232793745198,0.0300754073,0.110290738,1.00000405723659,17464.4783702163,13726.4135097906
"p1[128]",0.035815434246175,0.0336271485,0.0145459360470993,0.0136079114073,0.0161266614,0.06287629515,1.00015026726452,13563.3997840047,12396.7921294207
"p1[129]",0.213125905537187,0.20858104,0.0574817622928612,0.056827702176,0.1271907685,0.3154094365,1.00051350698506,13183.9363316459,14062.6292498653
"p1[130]",0.0813155468824188,0.07235096,0.0467499006031404,0.0417877496526,0.02329229615,0.1707118455,1.00022800000935,13940.1241051642,12962.90461071
"p1[131]",0.181887010528,0.17859918,0.045358622186,0.0449294517,0.113498228,0.2618530895,1.00018450467006,16326.821137939,14134.0741890377
"p1[132]",0.00201975488119916,0.000960220535,0.00314025236810387,0.001116516593325,6.175806935e-05,0.007414971165,0.999939906084226,14503.575710068,13491.5624204349
"p1[133]",0.299747697754937,0.29181544,0.0940953891843851,0.094719044112,0.1581781235,0.46479767,1.00033796521434,17047.4781440033,13874.8726312995
"p1[134]",0.24429931194025,0.240969885,0.0524109704021543,0.052294815762,0.163280849,0.335286865,1.00034443300316,15437.6288524878,14314.1154292676
"p1[135]",0.420201526373312,0.41750219,0.0962645754057089,0.098788099116,0.2677559685,0.585248203,1.00025673869711,16719.8855436369,14335.1364402285
"p1[136]",0.197964360709313,0.193516005,0.0528947959090593,0.052154687823,0.1190701405,0.292619681,1.00032595613809,14874.4260314647,13701.0546456696
"p1[137]",0.117614165486375,0.11306097,0.0395859965188105,0.0385795552191,0.0612810843,0.1892910605,1.00014108167301,14000.4293979577,12012.0323194477
"p1[138]",0.0840918574720625,0.0824582575,0.0211150453805092,0.0207667537371,0.05249212695,0.121696212,1.00017742568126,14033.6622290184,12505.0432185615
"p1[139]",0.414905277685625,0.41148854,0.0967461198277483,0.09819941796,0.2615869035,0.5804134835,1.00001961903078,17226.3997784022,13805.2457053292
"p1[140]",0.0110201087900506,0.009587318,0.00665725587351686,0.00552459051165,0.00324444992,0.02393628165,1.00015701697072,14669.4589196315,13371.5944511792
"p1[141]",0.213231213990063,0.20460536,0.0809349452371431,0.079321583355,0.09704209055,0.361946666,1.00018838177411,18219.4866827698,14102.8511464791
"p1[142]",0.248742622582562,0.245157105,0.0560758364186586,0.056394805215,0.1624321085,0.34677427,1.00026720149518,17179.426077779,14725.6657837027
"p1[143]",0.326358610002125,0.317652715,0.109428878121199,0.112299766803,0.162050067,0.520091881,1.000124442734,14794.8085935476,12973.4674411144
"p1[144]",0.0340786553140187,0.0292221735,0.0213866997922997,0.0179585714553,0.00929260474,0.07541495055,1.00022365144407,13488.2482769599,12238.9811814367
"p1[145]",0.0659815704239375,0.0633996825,0.0224750705596569,0.0216474900432,0.03424319925,0.107018651,1.00009698094903,13541.4648191863,12548.7683145706
"p1[146]",0.263932286222813,0.26122037,0.0502045354381234,0.049589226435,0.18607432,0.350902396,1.00010591610076,14438.6212130567,14497.1044914349
"p1[147]",0.207823185052875,0.204083695,0.0491740000935113,0.049002176139,0.1337606745,0.293733781,1.00026752800639,15771.4163956462,14851.4108847319
"p1[148]",0.054966411718825,0.052232423,0.0212298831213337,0.0202276225557,0.02558102975,0.0943861367,1.00032665404247,12861.4631053242,13599.1474549365
